,full_text,username,created_at,clean_text,pred_label,confidence
0,Ahmad Doli Kurnia Respons Wacana Redenominasi Rupiah: Pemerintah Tinggal Ajukan DPR Akan Proses Wakil Ketua Badan Legislasi (Baleg) DPR RI dari Fraksi Partai Golkar Ahmad Doli Kurnia https://t.co/LXsd2zbyld #61TahunGolkar #golkarpedia #bahlillahadalia #ahmaddolikurnia https://t.co/MEBDQFwADT,,Sun Nov 23 23:11:40 +0000 2025,ahmad doli kurnia respons wacana redenominasi rupiah: pemerintah tinggal ajukan dpr akan proses wakil ketua badan legislasi (baleg) dpr ri dari fraksi partai golkar ahmad doli kurnia 61tahungolkar golkarpedia bahlillahadalia ahmaddolikurnia,netral,0.9819213151931763
1,@Kanseulir minimal simpan di LEDGER nano lah hari gini nyimpen di bank di brankas mereka itu cerdas tapi licik mengendapkan sosialisasi teknologi ke rakyat tapi mereka bergerak duluan duit mereka di staking j tiap detik duitnya bertambah btw.. redenominasi gw setuju,,Tue Sep 09 09:46:56 +0000 2025,minimal simpan di ledger nano lah hari begini menyimpan di bank di brankas mereka itu cerdas tapi licik mengendapkan sosialisasi teknologi ke rakyat tapi mereka bergerak duluan duit mereka di staking saja tiap detik duitnya bertambah btw.. redenominasi gue setuju,negatif,0.8941677808761597
2,@KemenperinRI Cukup Kan udah redenominasi,,Tue Nov 11 12:37:21 +0000 2025,cukup kan sudah redenominasi,netral,0.9725409150123596
3,Iyak redenominasi ntar harga ip 17 jadi Rp. 25.000,,Tue Nov 11 15:33:23 +0000 2025,iya redenominasi entar harga ip 17 jadi rp. 25.000,netral,0.9821377992630005
4,Wacana ini bukan barang baru. Sudah berkali-kali rencana serupa muncul tapi tak terealisasi. Ada sejumlah hal yang perlu dipertimbangkan. #Ekonomi #AdadiKompas https://t.co/2MY4FfeNnT,,Wed Nov 12 05:21:46 +0000 2025,wacana ini bukan barang baru. sudah berkali-kali rencana serupa muncul tapi tak terealisasi. ada sejumlah hal yang perlu dipertimbangkan. ekonomi adadikompas,negatif,0.9471156597137451
5,Purbaya soal Redenominasi Rupiah: Kebijakan Bank Sentral Diterapkan Sesuai Kebutuhan https://t.co/NRKJjikoWb,,Mon Nov 10 14:10:00 +0000 2025,purbaya soal redenominasi rupiah: kebijakan bank sentral diterapkan sesuai kebutuhan,netral,0.9799824953079224
6,Aku berharap waktu Redenominasi saldo rekeningku lupa diedit sama BCA,,Mon Nov 10 12:20:40 +0000 2025,aku berharap waktu redenominasi saldo rekeningku lupa diedit sama baca,netral,0.9775788187980652
7,@AbahBerry01 Akankah Redenominasi Rupiah segera diberlakukan oleh P'@prabowo @Gerindra (bos Prof.@bang_dasco P'@MuzaniGerindra @Fraksi_Gerindra om: @sjafriesjams @fadlizon @A_rizapatria &amp; @Dahnilanzar)?,,Wed Sep 10 02:42:24 +0000 2025,akankah redenominasi rupiah segera diberlakukan oleh p' (bos prof. p' om: &amp; )?,netral,0.964450478553772
8,WACANA PANAS! Pemerintah Kembali Bahas Redenominasi Rupiah Nol Rupiah Bakal Dihilangkan #RedenominasiRupiah #EkonomiNasional #BeritaEkonomi #PurbayaYudhiSadewa #Kemenkeu #IstanaNews #UangRupiah #ReformasiMoneter #BreakingNews #BeritaViral #FYPIndonesia #EkonomiIndonesia https://t.co/2xUPpNs443,,Mon Nov 10 11:56:22 +0000 2025,wacana panas! pemerintah kembali bahas redenominasi rupiah nol rupiah bakal dihilangkan redenominasirupiah ekonominasional beritaekonomi purbayayudhisadewa kemenkeu istananews uangrupiah reformasimoneter breakingnews beritaviral fypindonesia ekonomiindonesia,netral,0.9813527464866638
9,Redenominasi Rupiah Kembali Dibahas Dunia Usaha Tenang Pemerintah Tekankan Tahapan dan Koordinasi https://t.co/7GnTBRvnkF,,Wed Nov 12 03:32:24 +0000 2025,redenominasi rupiah kembali dibahas dunia usaha tenang pemerintah tekankan tahapan dan koordinasi,netral,0.9788550734519958
10,@yuppykenyyal Udah ikut program redenominasi cull?,,Thu Nov 13 00:48:40 +0000 2025,sudah ikut program redenominasi cull?,negatif,0.873745322227478
11,#ngalorngidul ngomongin redenominasi itu ranahnya om perry kalo bener kejadian keknya composite bakal naik vol transaksinya misal small caps saham 50. setick itu = 1 (2%) di redenom jadi 0.05 ya masa setick 1 juga tapi ga mgkn juga 0.001. mgkn bisa beli per 1 lembar ?,,Mon Nov 10 07:00:58 +0000 2025,ngalorngidul mengomongkan redenominasi itu ranahnya om perry kalo benar kejadian kayaknya composite bakal naik vol transaksinya misal small caps saham 50. setick itu = 1 (2%) di redenom jadi 0.05 ya masa setick 1 juga tapi enggak mungkin juga 0.001. mungkin bisa beli per 1 lembar ?,negatif,0.9514830708503723
12,@akhaanwar @benny_wiseguy @vespamatic96 Redenominasi mata uang adalah proses mengurangi nilai nominal uang dengan menghilangkan nol misalnya Rp 1.000 jadi Rp 1 baru. Ini berlaku secara lokal untuk kemudahan transaksi tapi nilai tukar global tetap sama karena daya beli asli tak berubah. Contoh: Jika 1 USD = Rp 15.000,,Thu Jan 15 16:27:01 +0000 2026,redenominasi mata uang adalah proses mengurangi nilai nominal uang dengan menghilangkan nol misalnya rp 1.000 jadi rp 1 baru. ini berlaku secara lokal untuk kemudahan transaksi tapi nilai tukar global tetap sama karena daya beli asli tak berubah. contoh: jika 1 usd = rp 15.000,positif,0.84110426902771
13,Belakangan banyak yang bertanya soal Redenominasi Sederhananya angka 000 akan dihilangkan sehingga Rp 1000 akan jadi Rp 1 Apa pengaruh Redenominasi terhadap pasar modal? Sebagai Manajer Investasi yang kira2 akan terjadi sebagai berikut https://t.co/eZZUTX1Cjn,,Wed Dec 10 18:13:15 +0000 2025,belakangan banyak yang bertanya soal redenominasi sederhananya angka 000 akan dihilangkan sehingga rp 1000 akan jadi rp 1 apa pengaruh redenominasi terhadap pasar modal? sebagai manajer investasi yang kira-kira akan terjadi sebagai berikut,netral,0.9567115902900696
14,3 Negara Ini Siap Redenominasi Mata Uang Nol Terlalu Banyak Jadi Masalah! https://t.co/anTMmIfStB https://t.co/PYuvqhOhfp,,Wed Nov 12 10:59:26 +0000 2025,3 negara ini siap redenominasi mata uang nol terlalu banyak jadi masalah!,negatif,0.8998202085494995
15,Redenominasi Rupiah Butuh Sosialisasi dan Waktu Transisi yang Matang https://t.co/AGbvsVvOLG,,Wed Nov 12 03:46:10 +0000 2025,redenominasi rupiah butuh sosialisasi dan waktu transisi yang matang,netral,0.9814119935035706
16,@rrembulam kalo udah di redenominasi itu nominalnya gede kak,,Sun Nov 23 11:40:57 +0000 2025,kalo sudah di redenominasi itu nominalnya gede kak,negatif,0.8522530198097229
17,Redenominasi bikin rakyat lebih gampang adaptasi sama sistem keuangan global. https://t.co/r1QMRozkjd,,Wed Nov 12 05:22:17 +0000 2025,redenominasi bikin rakyat lebih gampang adaptasi sama sistem keuangan global.,positif,0.8364547491073608
18,Kepala Departemen Komunikasi BI Ramdan Denny Prakoso menyampaikan implementasi redenominasi mempertimbangkan waktu yang tepat stabilitas politik ekonomi sosial serta kesiapan teknis termasuk hukum logistik dan teknologi informasi. Sumber: https://t.co/OyvPc0jojO | https://t.co/6dSeSAC18n,,Mon Nov 10 06:55:07 +0000 2025,kepala departemen komunikasi bi ramdan denny prakoso menyampaikan implementasi redenominasi mempertimbangkan waktu yang tepat stabilitas politik ekonomi sosial serta kesiapan teknis termasuk hukum logistik dan teknologi informasi. sumber: |,netral,0.9717526435852051
19,MENDING NOCIL APA NORAMAI? Pemerintah mau Redenominasi (potong tiga nol: Rp10.000 jadi Rp10). Tujuannya biar Rupiah kelihatan keren dan hitungan gak ribet. Gimana nih reaksi kamu? ,,Mon Nov 10 14:49:51 +0000 2025,mending nocil apa noramai? pemerintah mau redenominasi (potong tiga nol: rp10.000 jadi rp10). tujuannya biar rupiah kelihatan keren dan hitungan enggak ribet. bagaimana nih reaksi kamu?,negatif,0.9432827830314636
20,@AbahBerry01 Redenominasi rupiah taunya malah tetep nyusahin rakyat middle to low. Karena koruptor itu bisa jadi koruptor karena pinter dan penuh jaringan. Yg disimpen dolar emas dan aset milyaran sampe trilyunan,,Tue Sep 09 04:42:15 +0000 2025,redenominasi rupiah taunya malah tetap menyusahkan rakyat middle tapi low. karena koruptor itu bisa jadi koruptor karena pintar dan penuh jaringan. yang disimpen dolar emas dan aset milyaran sampai trilyunan,negatif,0.996147632598877
21,Kalau perekonomian Indonesia mau cepat membaik selain redenominasi PPATK harus beneran kerja dan isinya harus orang orang jenius dan berintegritas sih. Kalau gak sepaket ya bocor terus ke Luar Negeri. Makin berasa dijajah Singapore ini kita nanti. Dan makin paraaaah. ,,Mon Nov 24 08:11:06 +0000 2025,kalau perekonomian indonesia mau cepat membaik selain redenominasi ppatk harus benaran kerja dan isinya harus orang orang jenius dan berintegritas sih. kalau enggak sepaket ya bocor terus ke luar negeri. makin berasa dijajah singapore ini kita nanti. dan makin paraaaah.,negatif,0.9542930126190186
22,mantap! Redenominasi bikin Rupiah makin simpel https://t.co/LQznYl9De0,,Mon Nov 10 11:40:06 +0000 2025,mantap! redenominasi bikin rupiah makin simpel,positif,0.995713472366333
23,@bangyoan @scrnsyt yes kebetulan di aku rupiahnya udh redenominasi ,,Mon Jan 19 02:04:55 +0000 2026,yes kebetulan di aku rupiahnya sudah redenominasi,netral,0.9757011532783508
24,DPR minta redenominasi rupiah didahului kepastian stabilitas ekonomi dan politik #dprri #redenominasi #ekonomi #uang #beritaterkini https://t.co/ERYn4cYBlX,,Tue Nov 11 09:38:10 +0000 2025,dpr meminta redenominasi rupiah didahului kepastian stabilitas ekonomi dan politik dprri redenominasi ekonomi uang beritaterkini,netral,0.9808802008628845
25,Wacana Redenominasi Rp1000 ke Rp1 Dinilai Beri Dampak Psikologis ke Warga RI https://t.co/exu8PVAk62,,Tue Nov 18 02:23:10 +0000 2025,wacana redenominasi rp1000 ke rp1 dinilai beri dampak psikologis ke warga ri,netral,0.9813134670257568
26,@somexthread yg nyimpen duit banyak dan duit ilegal pasti ga setujuh.. redenominasi sebenarnya sudah lama di buat oleh masyarakat. contoh klo masyarakat jawa bilang 1jta itu seribu terus 1k 10k 100k dst. cuma ini mau di bikin resmi oleh pemerintah ,,Thu Nov 13 03:06:44 +0000 2025,yang menyimpan duit banyak dan duit ilegal pasti enggak setujuh.. redenominasi sebenarnya sudah lama di buat oleh masyarakat. contoh kalo masyarakat jawa bilang 1jta itu seribu terus 1k 10k 100k dst. cuma ini mau di bikin resmi oleh pemerintah,negatif,0.9955131411552429
27,3 hours ago@Blablablablay Pas banget habis liat podcast pak said didu menurut beliau kira2 7000T uang gelap ga ada dipasaran. Kalo ada redenominasi wow duit itu balik,,Thu Sep 04 14:26:57 +0000 2025,3 hours ago pas banget habis lihat podcast pak said didu menurut beliau kira-kira 7000t uang gelap enggak ada dipasaran. kalo ada redenominasi wow duit itu balik,negatif,0.9867080450057983
28,Ketua HILMI Beberkan Empat Telaah Kritis Rencana Redenominasi Pemerintah https://t.co/X7RID5mj7N,,Thu Nov 20 21:58:12 +0000 2025,ketua hilmi beberkan empat telaah kritis rencana redenominasi pemerintah,netral,0.9808626174926758
29,Eh anjir beneran udh redenominasi?,,Tue Nov 25 13:02:54 +0000 2025,eh anjir benaran sudah redenominasi?,negatif,0.9829429388046265
30,Wacana redenominasi rupiah penyederhanaan nilai mata uang dari Rp1.000 menjadi Rp1 misalnya adalah langkah maju yang berpotensi membawa angin segar bagi sistem moneter di Indonesia. Meskipun bukan hal baru kebijakan ini terus dikaji oleh pemerintah dan Bank Indonesia (BI) https://t.co/JVpqe5EN17,,Mon Nov 24 13:45:07 +0000 2025,wacana redenominasi rupiah penyederhanaan nilai mata uang dari rp1.000 menjadi rp1 misalnya adalah langkah maju yang berpotensi membawa angin segar bagi sistem moneter di indonesia. meskipun bukan hal baru kebijakan ini terus dikaji oleh pemerintah dan bank indonesia (bi),positif,0.8446465730667114
31,@AbahBerry01 Tdk perlu redenominasi. Ganti total aja lembar bentuk dan warnanya jangka waktu penukaran dlm waktu singkat dan pakai penukaran maksimal. Diatas 10 juta harus antri ulang. Jd koruptor sewa org miskin utk antri imbalannya 30% dari yg ditukar. @prabowo,,Tue Sep 09 03:56:53 +0000 2025,tidak perlu redenominasi. ganti total saja lembar bentuk dan warnanya jangka waktu penukaran dalam waktu singkat dan pakai penukaran maksimal. diatas 10 juta harus antri ulang. jadi koruptor sewa orang miskin untuk antri imbalannya 30% dari yang ditukar.,negatif,0.9938092827796936
32,purbaya top redenominasi bakal bantu ekonomi naik kelas https://t.co/7X1HHEW30t,,Mon Nov 10 20:54:43 +0000 2025,purbaya top redenominasi bakal bantu ekonomi naik kelas,netral,0.978095531463623
33,redenominasi warga FB sudah dari lama menganut itu.,,Mon Nov 10 07:45:13 +0000 2025,redenominasi warga fb sudah dari lama menganut itu.,netral,0.9015992879867554
34,sedih bgt kena redenominasi duluan https://t.co/gmkxj3aYAC,,Mon Nov 17 06:48:31 +0000 2025,sedih banget kena redenominasi duluan,negatif,0.9952319264411926
35,Apa Dampak Redenominasi Rupiah dari Rp 1000 Jadi Rp 1? Ini Penjelasannya https://t.co/ryzsE4GHj6,,Thu Nov 13 06:11:05 +0000 2025,apa dampak redenominasi rupiah dari rp 1000 jadi rp 1? ini penjelasannya,netral,0.9769108891487122
36,@FrSiddiq90692 @GNFI Ya redenominasi Rupiah berpotensi menjadi angin segar bagi Indonesia karena menyederhanakan nilai nominal dan meningkatkan efisiensi transaksi harian. Langkah ini tidak mengubah daya beli riil melainkan memperkuat kredibilitas mata uang di mata internasional jika inflasi tetap,,Mon Nov 10 08:34:18 +0000 2025,ya redenominasi rupiah berpotensi menjadi angin segar bagi indonesia karena menyederhanakan nilai nominal dan meningkatkan efisiensi transaksi harian. langkah ini tidak mengubah daya beli riil melainkan memperkuat kredibilitas mata uang di mata internasional jika inflasi tetap,positif,0.9727296829223633
37,Terus tujuan Redenominasi ini apa sih? Tujuannya itu : 1. Menyederhanakan angka nol di rupiah 2. meningkatkan efesiensi belanja 3. memperkuat kredibilitas rupiah Jadi tidak ada hubungannya atau pengaruh ke nilai rupiah akan makin menguat,,Tue Nov 11 23:23:03 +0000 2025,terus tujuan redenominasi ini apa sih? tujuannya itu : 1. menyederhanakan angka nol di rupiah 2. meningkatkan efesiensi belanja 3. memperkuat kredibilitas rupiah jadi tidak ada hubungannya atau pengaruh ke nilai rupiah akan makin menguat,positif,0.8866341710090637
38,Redenominasi Rupiah Danantara Sebut Tak Ganggu Investasi Pemerintah Pastikan Belum Dilakukan dalam Waktu Dekat https://t.co/Hu6GqBNAoX,,Tue Nov 11 13:16:52 +0000 2025,redenominasi rupiah danantara sebut tak ganggu investasi pemerintah pastikan belum dilakukan dalam waktu dekat,netral,0.9828484058380127
39,Jalan menuju redenominasi rupiah semakin jelas arahnya. Anggota Komisi XI DPR RI H. Kamrussamad menegaskan bahwa rencana penyederhanaan rupiah kini telah masuk dalam Prolegnas Jangka Menengah 2025 2029 melalui RUU Perubahan Harga Rupiah. https://t.co/1jAGIySmrM,,Mon Nov 17 12:44:54 +0000 2025,jalan menuju redenominasi rupiah semakin jelas arahnya. anggota komisi xi dpr ri h. kamrussamad menegaskan bahwa rencana penyederhanaan rupiah kini telah masuk dalam prolegnas jangka menengah 2025 2029 melalui ruu perubahan harga rupiah.,netral,0.977764904499054
40,Dengan redenominasi duit haram bakal makin susah disamarkan karena sistem jadi lebih ketat. https://t.co/m69Qb0hYuq,,Fri Nov 21 06:26:08 +0000 2025,dengan redenominasi duit haram bakal makin susah disamarkan karena sistem jadi lebih ketat.,negatif,0.9721377491950989
41,keep it lowkey btw itu rupiahnya uda di redenominasi yaa https://t.co/iDvmP5Cnw6,,Tue Nov 25 10:31:04 +0000 2025,keep itu lowkey btw itu rupiahnya sudah di redenominasi ya,netral,0.8335707187652588
42,Redenominasi bikin rakyat lebih aware soal nilai uang edukasi finansial makin gampang. https://t.co/YDft7oT0iB,,Wed Nov 12 05:04:06 +0000 2025,redenominasi bikin rakyat lebih aware soal nilai uang edukasi finansial makin gampang.,positif,0.9630216360092163
43,INDONESIA MENDUKUNG REDENOMINASI PURBAYA - Sign the Petition! https://t.co/Fyeosl75dM lewat @ChangeOrg_ID,,Wed Nov 26 07:20:59 +0000 2025,indonesia mendukung redenominasi purbaya - sign the petition! lewat,netral,0.8986642956733704
44,Komisi 11 DPR RI menekankan bahwa redenominasi rupiah membutuhkan persiapan yang matang. https://t.co/sld3eFrM0B,,Mon Nov 24 14:10:53 +0000 2025,komisi 11 dpr ri menekankan bahwa redenominasi rupiah membutuhkan persiapan yang matang.,netral,0.9822225570678711
45,Darmadi Sepakat BI: Redenominasi Belum Tepat Secara Akademis Ada Syarat Ketat yang Harus Dipenuhi https://t.co/YTINGgUhjl,,Sat Nov 15 10:47:32 +0000 2025,darmadi sepakat bi: redenominasi belum tepat secara akademis ada syarat ketat yang harus dipenuhi,netral,0.9835931062698364
46,@ARSIPAJA Bagus Pak. Saya tambahin kritik saya: redenominasi tidak perlu. Vietnam 32.000 aman-aman saja kok. Biarin saja dibilang garbage currency yang penting bahagia persepsi ga bisa dimakan Pak ,,Mon Nov 17 09:44:40 +0000 2025,bagus pak. saya tambahkan kritik saya: redenominasi tidak perlu. vietnam 32.000 aman-aman saja kok. biarkan saja dibilang garbage currency yang penting bahagia persepsi enggak bisa dimakan pak,negatif,0.9050071239471436
47,CARA HANCURKAN KORUPTOR DALAM Sekejap! Prabowo WAJIB REDENOMINASI!! https://t.co/sF2ZcFaJxA lewat @YouTube,,Thu Sep 04 12:13:35 +0000 2025,cara hancurkan koruptor dalam sekejap! prabowo wajib redenominasi!! lewat,negatif,0.9946322441101074
48,@vespamatic96 misal redenominasi diberlakukan apakah tetap sama?,,Thu Jan 15 22:04:33 +0000 2026,misal redenominasi diberlakukan apakah tetap sama?,netral,0.8034864068031311
49,Redenominasi Rupiah: Wacana Purbaya Ubah Struktur Mata Uang Apa Dampaknya? Menteri Keuangan Purbaya Yudhi Sadewa menghidupkan kembali wacana besar: redenominasi rupiah. [Thread],,Mon Nov 10 08:31:24 +0000 2025,redenominasi rupiah: wacana purbaya ubah struktur mata uang apa dampaknya? menteri keuangan purbaya yudhi sadewa menghidupkan kembali wacana besar: redenominasi rupiah. [thread],netral,0.9658318758010864
50,Bagaimana seharusnya masyarakat merespon hal tersebut? Baca berita selengkapnya disini: https://t.co/ephFIFhB54,,Mon Nov 10 09:27:53 +0000 2025,bagaimana seharusnya masyarakat merespon hal tersebut? baca berita selengkapnya disini:,negatif,0.9649113416671753
51,PENJELASAN GUBERNUR BI TENTANG REDENOMINASI UANG RUPIAH AGAR LEBIH PAHAM.. https://t.co/RYH3rmQlYb,,Fri Nov 21 09:15:19 +0000 2025,penjelasan gubernur bi tentang redenominasi uang rupiah agar lebih paham..,netral,0.9794310927391052
52,Dengan redenominasi harga barang tetap sama cuma nolnya aja yang dikurangin biar simpel. https://t.co/swtdzzevEC,,Sat Nov 22 10:42:08 +0000 2025,dengan redenominasi harga barang tetap sama cuma nolnya saja yang dikurangin biar simpel.,negatif,0.9876794815063477
53,https://t.co/BOg71eNPE1,,Tue Nov 25 10:26:35 +0000 2025,,positif,0.8911839723587036
54,@fuckmefriendd Postingnya kecepettan tunggu redenominasi dulu hahaha,,Mon Nov 24 12:20:35 +0000 2025,postingnya kecepettan tunggu redenominasi dulu hahaha,netral,0.7697590589523315
55,Redenominasi Rupiah Rp1000 Jadi Rp1: Simbol Wibawa dan Kedaulatan Mata Uang #Redenominasi #Rupiah #MenteriKeuangan #PurbayaYudhiSadewa #SNN #SIBNewsNetwork #sibtv #news https://t.co/2caHKnhYtY,,Wed Nov 12 08:00:01 +0000 2025,redenominasi rupiah rp1000 jadi rp1: simbol wibawa dan kedaulatan mata uang redenominasi rupiah menterikeuangan purbayayudhisadewa snn sibnewsnetwork sibtv news,netral,0.9800874590873718
56,@tanyarlfes kalo itu uang pecahan baru redenominasi maka nilainya sama dengan Rp. 1 juta uang sekarang. disimpan saja atau kalau mau dibelanjakan sekarang untuk beli gorengan pinggir jalan dapat 2 biji.,,Thu Jan 08 22:47:56 +0000 2026,kalo itu uang pecahan baru redenominasi maka nilainya sama dengan rp. 1 juta uang sekarang. disimpan saja atau kalau mau dibelanjakan sekarang untuk beli gorengan pinggir jalan dapat 2 biji.,negatif,0.8300700187683105
57,payment gateway sng nggawe digit terakhir bakal rodok ngelu lek sido redenominasi,,Mon Nov 10 14:52:18 +0000 2025,payment gateway sng nggawe digit terakhir bakal rodok ngelu lek sido redenominasi,negatif,0.7993931770324707
58,uda redenominasi aja ini https://t.co/8H9XPxn54I,,Thu Nov 13 06:39:55 +0000 2025,sudah redenominasi saja ini,negatif,0.9718724489212036
59,Redenominasi bukan tentang berapa nol yang dihapus tetapi seberapa besar kita mampu menjaga nilai di baliknya nilai kepercayaan kesederhanaan dan kebijakan yang berpihak pada rakyat. https://t.co/C796p7VPzn,,Wed Nov 12 14:25:24 +0000 2025,redenominasi bukan tentang berapa nol yang dihapus tetapi seberapa besar kita mampu menjaga nilai di baliknya nilai kepercayaan kesederhanaan dan kebijakan yang berpihak pada rakyat.,positif,0.9534345269203186
60,@amaonster omg congrats redenominasi,,Mon Nov 24 05:23:00 +0000 2025,omg congrats redenominasi,netral,0.9406740069389343
61,Pemerintah melalui Purbaya Yudhi Sadewa sebagai Menteri Keuangan kembali mengaktifkan wacana penyederhanaan mata uang rupiah (redenominasi) misalnya ide dari Rp 1.000 menjadi Rp 1 tanpa merubah daya beli masyarakat. https://t.co/ihBeBhcKg9,,Tue Nov 11 04:44:29 +0000 2025,pemerintah melalui purbaya yudhi sadewa sebagai menteri keuangan kembali mengaktifkan wacana penyederhanaan mata uang rupiah (redenominasi) misalnya ide dari rp 1.000 menjadi rp 1 tanpa merubah daya beli masyarakat.,netral,0.9795547127723694
62,Kemenkeu Harus Penuhi Prasyarat Sebelum Redenominasi Rupiah https://t.co/ul11wP5q5h,,Tue Nov 11 08:21:55 +0000 2025,kemenkeu harus penuhi prasyarat sebelum redenominasi rupiah,netral,0.9786903858184814
63,@susno2g @DPR_RI @PurbayaYudhi @KemenkeuRI @tempodotco @detikcom @tribunnews Makanya Gw setuju @KemenkeuRI lakukan Redenominasi Uang RI biar para Tikus Berdasi kelimpungan akibat uangnya kagak laku...,,Wed Nov 26 05:27:12 +0000 2025,makanya gue setuju lakukan redenominasi uang ri biar para tikus berdasi kelimpungan akibat uangnya kagak laku...,negatif,0.9871550798416138
64,@GNFI Gaes seandainya aku punya Investasi di Emas yang nilainya saat ini Rp 40.000.000 00an dan terjadi Redenominasi padahal aku belinya cukup menguras tabungan kira² apa yang akan terjadi ? Mohon bantuan pencerahannya teman² bukan seorang ekonom soalnya.,,Tue Nov 25 23:28:48 +0000 2025,gaes seandainya aku punya investasi di emas yang nilainya saat ini rp 40.000.000 00an dan terjadi redenominasi padahal aku belinya cukup menguras tabungan kira² apa yang akan terjadi ? mohon bantuan pencerahannya teman² bukan seorang ekonom soalnya.,negatif,0.9833859801292419
65,Seribu jadi satu tapi siapa yang paling panik? #Purbaya #redenominasi #rupiah #Menkeu #PurbayaYudhiSadewa #koruptor #Kemenkeu #pinterpolitik #infografis #politikindonesia #beritapolitik #beritapolitikterkini https://t.co/33cZALSuIb,,Mon Nov 10 14:00:01 +0000 2025,seribu jadi satu tapi siapa yang paling panik? purbaya redenominasi rupiah menkeu purbayayudhisadewa koruptor kemenkeu pinterpolitik infografis politikindonesia beritapolitik beritapolitikterkini,negatif,0.8618224263191223
66,yang redenominasi gmn yh,,Sun Dec 28 02:05:40 +0000 2025,yang redenominasi bagaimana ya,netral,0.8548703193664551
67,Udah redenominasi aja Lumayan bisa Percin 3 kali sama rolet https://t.co/6hF3KfLRWW,,Mon Nov 10 10:57:56 +0000 2025,sudah redenominasi saja lumayan bisa percin 3 kali sama rolet,netral,0.7741872072219849
