id,teks,label_otomatis,label_manual,catatan
"0","biar lebih mudah di masyarakat kecil gambarnya di bikin sama tapi angkanya yang beda","negatif","positif",""
"1","mana ada program besar pemerintah pusat yang berhasil , yang berhasil hanya korupsi yang makin rekor diatas 1000 triliun","positif","negatif",""
"2","orang kayak begini yang harus nya masuk ke pemerintahan, bukan artis/seleb yang jago ekting","negatif","netral",""
"3","pasti inflasi","positif","negatif",""
"4","berani lah, di kira ini tahun 1965? sekarang media sudah banyak mengasih info redenominasi, inflasi kita cuma 2 persen 5 tahun terakhir<br>beda sama negara yang hyperinflasi tiba-tiba redenominasi ya gagal lah","negatif","positif",""
"5","1965 beda sama 2025 , sekarang mah orang rata rata pada pinter. titik","negatif","positif",""
"6","ketika panic proyek redominasi di setujui dan akan dilakukan, penimbun uang haram akan membelanjakan uangnya dengan membelajakan ke aset astet atau mengahambur hamburkan uang, ini pasti positif banget kan buat pengusaha,! walaupun di belanjakan ke luar negeri pun harus di tukar dulu ke uang mata asing,","positif","positif",""
"7","bung... ayo optimis.. <br>daripada banyak sekali nol.. nya rupiah ini... lucu. sepuluh tahun depan bisa bisa nol rupiah kita bisa berderet deret..","positif","positif",""
"8","sukses asalkan gambar sama warna nya jangan di rubah, ilangin nol nya saja","negatif","positif",""
"9","1965 tuh bukan redominasi tapi memang nilainya jadi inflasi total, harga barangnya naik hampir 1000x, kekayaan lu hilang total nilainya bahkan secara barter","negatif","negatif",""
"10","setuju harus redenomiasi","netral","positif",""
"11","seriously, yang jadi masalah besar investor shg enggak mau masuk ke indonesia adalah masalah korupsinya, bukan 000 itu. lebih baik beresin dulu semua korupsi itu dan perkuat perekonomian dalam negeri, buat banyak lapangan pekerjaan baru. jangan sibuk mengurusi image 000 dan berat2in anggaran negara","negatif","netral",""
"12","jangan tanggung2, redenominasi langsung potong 4 nol, 1 usd = 1,65 idr, 1 sgd = 1.2 idr, dan 1 idr = 3,5 myr keren enggak tuh?","negatif","negatif",""
"13","dulu yang 1965 itu sanering bukan redenominasi. sanering pemotongan nilai uang dari 1000 jadi 1. yang ini ngurangin 3 angka 0.","negatif","netral",""
"14","sanering dan redenominasi beda atuh ....<br><br>tahun 1965 itu kita sanering bukan redenominasi.. ...<br><br><br>yuk belajar lagi yuk......","netral","positif",""
"15","kalo itu memang lebih baik untuk kemajuan negara tercinta ya ayo tapi memang tidak baik dan banyak menimbulkan masalah mending janganlah pak menteri purbaya,kami masyarakat sedang terlanda masalah ekonomi, mending jangan yang aneh--aneh dulu, mening benerin ekonomi dulu kalo sudah membaik baru oklah di melakukan redenominasinya","negatif","negatif",""
"16","koruptor mungkin juga akan berpikir untuk segera menukar rupiahnya ke mata uang lain atau emas.","negatif","negatif",""
"17","-machzumial-2886 betul banget. pr nya tinggal pemerintah memikirkan bagaimana penyampaian informasi ini ke pedagang-pedagang seperti di pasar tradisional di daerah-daerah sebab rata-rata didominasi dengan pedagang yang sudah lanjut usia (berdasarkan pengalaman pribadi di daerah saya) dan jangan lupa di daerah-daerah terpencil seperti suku pedalaman dan masyarakat di perbatasan.","positif","positif",""
"18","syaratnya katanya bang bennix inflasi harus di bawah 10%, sedangkan indonesia sekarang inflasi di tingkat 2,6 %, mudah-mudahan berhasil agar semua uang2 korupsi yang di simpan di bawah tanah dan di bawah kolom tempat tidur pada keluar semua","positif","positif",""
"19","lah beda sekarang tahun 2025 bro. jangan disamain.","negatif","positif",""
"20","khusus pemerintah enggak usah sibuk menggantikan nominal huruf di uang yang lu harus urus bagaimana nih biar masyarakatnya bisa ngerubah semua ekonominya,percuma lu gonta ganti bagaimana uang kalau bahkan memegang uang 1000 pun dalam sehari sudah bersyukur banget kalau ada,yg di fikirin bagaimana buka lapangan kerja,tanpa melihat usia beda tetangga sebelah yang penting bisa kerja kerja enggak harus sekolah tinggi&quot; itupun sekolah tinggi&quot; nasib&quot; dapat pekerjaan memang beda dari lain ini negara,gmn enggak banyak masyarakat ngerantau buat keseharian saja di negara ini bikin pusing,","negatif","negatif",""
"21","ya dari bennix","negatif","netral",""
"22","bisa diterapkan dengan bertahap kok. tapi, yang saya cemaskan adalah oknum yang manfaatkan orang orang yang &quot;kurang&quot;. pemerintah mau enggak mau harus ngawal sampai tuntas.","negatif","positif",""
"23","contoh orang yang enggak paham ya begini komen nya","negatif","negatif",""
"24","karena ekonomi sedang tidak stabil lebih baik tahan dulu. masih ada resiko besar yang harus dimitigasi dan hindari, kalau untuk 2027 saya belum yakin, sukur-sukur dolar bisa turun ke 5000 dulu baru kita redenom.","negatif","negatif",""
"25","1965 itu kan enggak ada hp sekarang 90% sudah pada ngerti.. ada q&39;ris buat bayar.<br>klo uang lo banyak ya belanjain, kalo masih kebanyakan ya bayar pajaklah cuk","negatif","negatif",""
"26","apaan sih, cuma beda menulis doang. 5000 jadi 5k. selesai","negatif","negatif",""
"27","sebagai orang it, saya sih senang banget redenominasi. sudah merasai pusingnya mengurusi po yang nilainya ratusan miliar yang enggak muat di sistem dalam 1 baris, jadi harus di-split beberapa baris. semoga redenominasi kali ini berhasil dengan lancar.","positif","positif",""
"28","aturan dari mana itu?<br><br>redenominasi hanya mengubah angka nominal, bukan memaksa pemilik uang tunai ilegal atau tidak tercatat untuk menyerahkannya.<br><br>pemilik uang “gelap” bisa tetap menyimpan uang lama di tempat tersembunyi, memecahnya, menukarnya sedikit-sedikit lewat jalur informal, atau bahkan menunggu aturan longgar.<br><br>jadi tanpa aturan tambahan, redenominasi tidak otomatis mengembalikan uang ke perbankan atau membuatnya tercatat.","negatif","negatif",""
"29","sanering beda redominasi bang belajar dulu","netral","netral",""
"30","indomaret : punten... 500 rupiahnya mau didonasikan?","netral","netral",""
"31","kemungkinan uang koin yang nilainya ratusan bakal jadi sen sih","netral","netral",""
"32","tempo jangan jadi acuan","negatif","netral",""
"33","lagi pula sekarang pembayaran2 sudah mulai migrasi ke digital. makin efektif membayar nominal2 angka2 kecil ratusan perak.","positif","positif",""
"34","menurutku boleh saja..asalkan mata uang fisik yang beredar di masyarakat nilai terkecilnya adalah 1 rupiah..<br>bukankah dalam prakteknya di kehidupan sehari hari saat ini kita membeli barang hampir selalu bulat 1000 walau masih ada uang 200 dan 500 rupiah beredar ? tapi dalam kenyataannya sangat jarang di jumpai mis. 1,500 atau 2,500 ? contoh cemilan anak kecil saja hrgnya 1000 atau 2000...jd kalo redenominasi nanti akan jadi 1 atau 2 rupiah untuk hrg sebuah kerupuk 1 bungkus..","negatif","negatif",""
"35","sekarang saat yang tepat, karena kondisi ekonomi biasa saja enggak terlalu parah, sosialisasi mudah karena ada internet/sosmed, kondisi us dalam kondisi yang cenderung melemah dan kondisi korupsi semakin parah.","negatif","negatif",""
"36","tahun 65 redenominasi? enggak salah om? bukannya sanering? awas bisa penyesatan lu","negatif","netral",""
"37","tahun 65 itu sanering, cmiww","netral","netral",""
"38","1965 itu bukan redenominasi tetapi itu sanering","negatif","netral",""
"39","banyak nol indonesia,harus redenominasi biar enak hitung duit","positif","positif",""
"40","orang itu di perbankan: alamak lembur setahun kita","netral","negatif",""
"41","uang haram ketar ketir...","netral","netral",""
"42","mesti di dukung","netral","positif",""
"43","","positif","netral",""
"44","pengusaha besar tidak begitu berefek.karena kebanyakan transaksi digital,tapi untuk orang dibawah,seperti harga gorengan bala bala dari harga seribu,setahun kemudian biasanya harganya naik misal jadi 1100 atau 5000/4.tetapi jika terjadi redominasi,jika dari harga rp1,misal terjadi kenaikan harga,maka akan ditekan ke rp2 soalnya belum ada kabar ada rp 0.1.dari sini,terjadilah inflasi 100%<br>selain itu jika redominasi terjadi akan banyak duit(aset negara)menghilang atau berkurang misal tidak ditukar,robek,dll.maka kekayaan negara juga akan berkurang.hanya pemahaman pribadi","negatif","negatif",""
"45","anak muda ini pasti buzzer para koruptor , redenominasi cara halus pukul koruptor, cuma jangan di gembar gemborkan melainkan lsng saja ,agar koruptor tidak sempat menukar uangnya , tapi yang paling sangar itu kalo pemerintah berani cetak mata uang baru secara tiba-tiba dan diedarkan ketika bulan gajian tiba , sambil umumkan mata uang lama enggak berlaku, efeknya memng bikin ekonomi kacau diawal, tapi sudah resiko daripada korupsi terus merajalela, indonesia negara miskin tidak perlu takut ambil resiko,","negatif","negatif",""
"46","bukan hanya masalah sosialisasi nya bor, tapi sistem nya, indonesia paling buruk, penuh para tikus busuk, redenominasi berhasil jika di dukung sistem dan birokrasi yang baik juga, pertanyaannya memang sistem dan birokrasi indonesia mendukung redenominasi...?","negatif","negatif",""
"47","tinggal ngurangin nol nya 3. ribet lu","negatif","negatif",""
"48","segera beli rumah, tanah, emas, dan valuta asing sebelum redenominasi diberlakukan secara tiba2..","netral","negatif",""
"49","1965 ekonomi belum stabil, soekarno ngamburin banyak banget duit bangun monas, stadion, hotel, jembatan cuman buat asian games iv, terus dilanjut ganefo dilanjut ganyang malaysia bagaimana enggak hancur mata uang? terus waktu itu belum ada medsos bagaimana caranya sosialisasi ke warga efektif coba? kalau sekarang ekonomi sudah jauhhhh lebih stabil dari 1965, ada medsos dan untungnya kemenkeu dipegang orang yang punya kredibilitas tinggi jadi masyarakat juga bisa percaya","positif","positif",""
"50","apa enggak mungkin uang korupsi malah makin kayak","negatif","negatif",""
"51","menurut saya pribadi hal ini bagus ya. karena mata uang kita jadi teroptymisize terkesan lebih ringkas. dan untuk mengeksekusi nya harus butuh pensosialisasian yang baik pula ke masyarakat. supaya masyarakat paham nih uang nilai nya sama cuma menghilangkan 3 nol di lembaran mata uang.","positif","positif",""
"52","nol banyak juga enggak apa-apa sih misalkan korea dan japan oke saja","negatif","negatif",""
"53","dikalangan pasar facebook malah sudah menerapkan redenominasi sejak lama","negatif","positif",""
"54","tagih gibran dong soal 19 juta lap.kerja","netral","netral",""
"55","biar pun di kecil kan angkanya, kalau memang nilai nya enggak berharga ya samimawon","negatif","negatif",""
"56","menurut saya uang di negara +62 ini angkanya gede banget tapi nilainya kecil banget itu pun usahanya sudah gede banget contohnya begini kita kerja keras jadi rkyat kecil gajinya enggak seberapa itu kalo buat makan 1 keluarga belum tentu cukup","negatif","negatif",""
"57","habis rakyat indonesia masih banyak yang sdm rendah<br>contoh <br>1.miliar menjadi 1.jt rupiah saja <br>500.000.000...menjadi 500.ribu rupiah saja <br>100.000..menjadi 100.rupiah saja<br>10000/10.rupiah<br>5000/5.rupiah saja","negatif","negatif",""
"58","momentum mentri keuangan lagi naik&quot;nya. selain itu di gen saja juga sudah biasa pakai 1k, 2k, 100k","negatif","positif",""
"59","menurutku sih berpotensi banyak yang melakukan salah transfer di awal-awal redenominasi tapi dapat diminimalisir dengan bantuan ui pada m-banking dan mesin atm nya saat peralihan berlangsung hingga beberapa tahun sampai benar-benar terbiasa....ketolongnya dibanding 1965 adalah teknologi informasinya yang sudah jauh lebih maju jadi lebih cepat sosialisasi dan penyebaran informasinya.","positif","positif",""
"60","lu kasih informasi ketkutan terus bang enggak postif wkwk","negatif","netral",""
"61","yang takut dengan redenominasi kalo bukan koruptor ya bandar judi online.dan mereka berusaha mengiring opini publik untuk pesimis dengan kebijakan ini.yg jls koruptor dan bandar judi terancam dengan kebijakan ini .mereka lagi bingung dengan uang hasil korupsi dan judi online","negatif","positif",""
"62","100.000 = 100<br>10.000 = 10<br>500 = 50 sen <br>400 =40 sen <br>100 = 10 sen","netral","netral",""
"63","sangat meng edukasi bang","positif","netral",""
"64","gaji 5jt jadi 5rb kayak kang parkir","netral","netral",""
"65","aku sih sangat optimis ini akan berhasil. karena sudah banyak kasus gagal maupun sukses dari banyak negara termasuk kita sendiri, yang bisa dijadikan acuan ataupun pelajaran spya project ini bisa sukses.","positif","positif",""
"66","sudah waktunya tentu tahapan harus di lalui","netral","positif",""
"67","tahun 1965 bukan redenominasi mata uang, tapi sanering. sanering adalah pemotongan nilai uang secara paksa oleh pemerintah untuk menekan inflasi atau mengurangi jumlah uang beredar.<br>nilai uang betul-betul berkurang, jadi daya belinya turun. <br><br>beda dengan wacana yang sekarang, redenominasi = penyederhanaan nilai nominal uang tanpa mengubah nilai riilnya<br><br>tolong sebelum buat konten dicek dulu kebenarannya, supaya publik enggak salah mengartikan juga.","negatif","negatif",""
"68","kalau menurut saya agar masyarakat tidak bingung dalam bertransaksi kedepannya, hilangkan saja 3 angka 0 di setiap lembaran uang; dengan tetap mempertahankan gambar dan logo dari tiap lembaran uang tersebut. karena setiap orang dalam bertransaksi secara langsung mereka cenderung memperhatikan warna pada uang.","positif","positif",""
"69","kalau saya pribadi, kenapa enggak menjadikan emas juga sebagai alat pembayaran. kekuatan nilai intrinsik juga pasti akan menekan terjadinya inflasi","positif","netral",""
"70","ada yang namanya masa transisi, enggak bakal bisa dadakan karena perhitungan/pencatatan di dunia digital butuh waktu development untuk penyesuaian","netral","netral",""
"71","bisakah dengan cara mengedukasi masyarakat uang yang sudah dipegang atau di miliki itu angka nolnya dicoret 3 digit pakai spidol terus di biarkan transaksi seperti itu baru nanti kalo sudah lama terbiasa baru di ganti uang baru secara bwrtahap","negatif","netral",""
"72","apa ini sebuah permulaan sebelum dolar naik gila gilaan agar nilainya tidak terlihat mengerikan, misalnya sekarang dolar 17.000 di redenom jadi 17,- per 1$, entar waktu sudah jalan redenom, dollar naik jadi rp. 23,- kita enggak terlalu panik karena efek psikologis meskipun market berantakan, dan apakah terjadi hyper-ultra inflasi? who knows, saya enggak pernah riset macro economynya","negatif","negatif",""
"73","simple dan efektif buat transaksi koruptor <br>nggak bawa koper lagi cukup amplop","positif","negatif",""
"74","hmm yakin? yakinlah karena redenominasi bisa menjadi titik balik sejarah bagi indonesia untuk membersihkan ekonomi dari uang haram dan mengembalikan kekuatan rupiah di mata dunia. uang&quot; yang beredar diluar sistem pemerintahan akan dipaksa kembali dan ini membuat mafia ketar-ketir karena uangnya berhasil dilacark.. kita harus dukung kebijakan yang sudah diperhitungkan matang&quot; ini..","negatif","positif",""
"75","sependapat kita...<br>saya yakin banget<br>indonesi akan lebih maju.","positif","positif",""
"76","9 naga panik duitnya yang di simpan ke rupiah kan terbongkar jumlah aslinya yang enggak kena pajak.mau tuker ke matbaunag asing sudah enggak laku lagi.8000 triliun dana gelap yang berputar untuk transaksi gelap akan muncul kebaca sistem lagi..dengan digitalisasi dan keterbukaan sekarang ini susah untuk manipulasi..kalo masih tetap manipulasi mkaa blockcahin ankan merevolusi itu semua..ini awal permulaan tumbangnya monopoli etnis china di indo..tambang,perkebunan,air mineral,beras, minyak,penyelundupan, kerah putih,judol dan narkoba sedang di sikat habis oleh prabowo dan kita tau siapa pelaku2nya itu.kalo mau 8 persen tumbuhnya mkaa mua enggak mau 9 naga harus di gulingkan.","negatif","negatif",""
"77","lu coba mikir. selama ini koruptor itu nyimpan uang rupaih di berangkas. angap uang nya 100.000 semua sekang tiba tiba uang itu tidak laku lagi apa yang bakal di melakukan ia pasti uang itu di belanjakan. otomatis ekonomi hidup. atau dia mau tukar ke bank pasti lansung ketahuan bakal di tanya uang dari mana . ? mikir bro.","negatif","positif",""
"78","dulu sanering bos bukan redominasi","negatif","netral",""
"79","koruptor enggak sebodoh itu nyimpan uang kas dalam bentuk rupiah brader.. mikirr","negatif","negatif",""
"80","redenominasi sudah mulai, selanjutnya bikin indonesia jadi 1 waktu saja daripada dibagi jadi 3","netral","netral",""
"81","lebih percaya purbaya daripada raymond dalam hal analisa ekonomi negara, termasuk keputusan keputusan dodalam nya.","positif","netral",""
"82","saya rasa enggak ada gunanya, jika pejabat diatas masih itu2 aja, karena tujuannya kan untuk mengungkap korup kan, tapi jika orang-orang itu saja yang masih duduk disana apa gunanya?","negatif","negatif",""
"83","sekenario yang paling masuk akal terjadi jika redenominasi ini di terapkan, uang&quot; yang mungkin berjumlah triliunan yang dari hasil tidak jelas dengan terpaksa akan turun gunung gila&quot;an.<br>dan jika itu yang akan terjadi, masyarakat indonesia akan menyambut baik.","negatif","negatif",""
"84","tapi seumpama kita beli barang harganya ada koma nya kayak 10.500 bayarnya 10 rupiah sama 500 rupiah apa bagaimana ya kak?","negatif","netral",""
"85","bang memang benar soeharto bertahan selama 32 tahun jadi ri 1 ? itu karena dia mampu menekan harga pangan, makanya di zaman beliau harga pangan lebih terjangkau. <br>bahas sih bang.","positif","positif",""
"86","jangan bicara turki, turki negara termiskin di eropa, sekarang ekonomi hancur kepercayaan rakyat jatuh, fungsinya untuk merampok uang rakyat serentak, karena sudah enggak ada uang buat bayar utang !!!! dan sudah enggak ada uang buat intervensi!!!! ini penipuan!! enak amat bilang $1 = rp 16, mau ketawa saya hahahaha , semua negara redenominasi masalah selesai, jangan bodoh2 ya, purbaya cuma jongos , setelah redenominasi detik itu juga george soros short rupia, negara kacau dan rusuh, karena enggak ada back up emas dari pemerintah, enggak ada urgensinya !! apalagi alasanya cuman gara-gara nol nya banyak, atau pencatatan akutansi, jangan bodohi rakyat yang bodoh, smart people sudah tau kalo pemerintah mau rampok!!mau ketawa purbaya koboi gatot kok di percaya!! anak ingusan itu dan enggak penting, malah biaya cetak lagi trilyunan yang siap dikorupsi , jangan mau terprovokasi , yang jelas anda akan semakin miskin !!","negatif","negatif",""
"87","yoi. dan yang pasti, para koruptor lolot bakal berbelanja ria. dan perputaran ekonomi indonesia bertumbuh:)","negatif","negatif",""
"88","bisa dibayangkan betapa bingungnya emak² penjual sayur<br>tapi memang harus begitu bingung² diawal lama kelamaan terbiasa.","negatif","negatif",""
"89","setujuu sih sama rencana ini, karena efeknya lumayan banget buat kita yang profesinya akunting atau finance","positif","positif",""
"90","ini sudah lama perencanaannya dan sudah banyak menteri sebelum belum bisa masih menunggu teimingnya jika layak di lakukan. karena menteri ini cuma omon omon apakah sudah yakin bulan 8 tahun ini dan 98 saja kedua demo ini enggak bisa di hendel penjarahan dan pemerkosaan penuh kehancuran apa lagi kalau di kurangi 3 nolnya aku rasa di masa ini banyak organisasi melawan pemerintah enggak bisa di tangani apalagi momen ini waspadalah negara ini bisa .......","negatif","negatif",""
"91","dari sisi it, enggak semudah menghilangkan value 000 di dalam database/storage. karena valuenya bukan hanya 0 saja, tapi ada angka rupiah entah sekedar 001 atau 999 rupiah. mau di taruh mana value ini, bayangkan system dengan 10juta subscriber. worst case 10juta subscriber kali 999 rupiah = hampir 10 miliar, ini big money. <br><br>kemungkinan itu enggak mau pusing angka di database akan tersimpan sebagai mana adanya sebelum redenominasi.","negatif","negatif",""
"92","yang ditakutin tahun depan inflasi meledak","negatif","negatif",""
"93","saya setuju banget","positif","positif",""
"94","hi abang raymond... idola ku","netral","netral",""
"95","percuma ajahhhh..... sama saja akal akalan lo orang kebanyakan uang.... bukan inti masalahnya yang diperbaiki!!!!!","negatif","negatif",""
"96","redenominasi tidak bisa mengubah nilai tukar mata uang asing. <br>redenominasi hanya memangkas uang lokal. <br>yang ada pemilik uang lokal akan semakin miskin, karena harga $1 tetap seperti sebelumnya.<br>jika $ 1 = rp 20.000,- <br>maka uang milikmu 1 juta setara = $ 50.<br>jadi setelah redenominasi maka uang 1 juta milikmu menjadi 1000 rupiah mata uang baru dan setara = 5 cent dolar.<br><br>redenominasi pernah dilakukan di zaman orde lama dan hal ini malah membuat krisis ekonomi semakin parah. kebodohan pemangku kebijakan ekonomi!!<br><br>&quot;tidak ada aturan moneter internasional di seluruh bumi manapun bahwa redenominasi dapat mengurangi/menurunkan nilai tukar mata uang asing&quot;<br><br>redenominasi akan memicu krisis yang lebih parah yaitu hiperinflasi!!","negatif","negatif",""
"97","dengan redenominasi harga2 otomatis naik karena nilai &quot;nol koma&quot; dibulatkan ke atas","netral","netral",""
"98","om ray..<br>1. pernah cek kenapa gagal di tahun 65? atau di cek kenapa gagal juga di zimbabwe atau venezuela? <br><br>2. alasan kenapa beberapa neg sukses dalam redonimasi seperti turki? <br>dan benefit dari redonmsi tsb?<br><br>3. tahu faktor&quot; penentu berhasil/tdk nya redonomisi? tidak kah team sekelas mentri purbaya sudah berhitung pada saat memutuskan???<br>4 saat redomnsi sapa coba yang pertama paling teriak&quot; tidak suka? ya koruptor..<br>mungkin bisa lihat pov /argumen bennix channel buat insight yang b&39;beda","negatif","negatif",""
"99","yang menolak itu para koruptor","negatif","negatif",""
"100","<a href= &quot;pemerintah yang enggak blunder&quot; mimbas wni","netral","netral",""
"101","relate pengalaman pribadi, sering klien dari luar kaget waktu bayar. &quot; wow, that&39;s sok many numbers!&quot;","negatif","negatif",""
"102","judul klik bait kah","netral","netral",""
"103","yang enggak setuju redenominasi, para koruptor yang menyimpan uang haram di rumah, (2) para penjahat yang membuat uang palsu...kalau bisa uang di bikin dari emas atau perak...","negatif","negatif",""
"104","enggak setuju lah entar koruptor hukumnya jadi ringan korupsi 8m entar jadi 800jt hukumannya jadi 2 minggu doang wkwkwkw","negatif","negatif",""
"105","yang pasti ada udang dibalik bakwan...apapun itu harus menguntungkan pemerintah dan para penguasa indonesia baru di sahkn...","negatif","negatif",""
"106","saya agak pesimis harga akan naik jika redominasi tetapi standar gaji masih tetap","negatif","negatif",""
"107","clas raymon chin pakai perbandingan tahun 65 baca sejarah lagi bung tapi top juga sih untuk selalu membangun narasi kecemasan dan dianggap orang paling pintar","positif","positif",""
"108","ganti mata uang saja sekalian, untuk sementara mata uangnya ganti baru jadi bukan rupiah misal rupiah baru sampai sudah stabil baru ganti lagi jadi hanya rupiah.","negatif","negatif",""
"109","kalo gue sih lebih optimis. karena masyarakat pun terbiasa lihat daftar harga dengan 0 sedikit, contoh 5k, 10k, dsb. selain itu, adanya qris membuat masyarakat tidak terbiasa memegang uang cash dalam jumlah besar. tinggal disosialisasikan dengan segala cara agar seluruh rakyat indonesia paham soal redenominasi rupiah tersebut.","positif","positif",""
"110","​ ett tapi kalo uang rupiahnya di tukerin ke dollar as?<br>model cuci uang buat enggak kebobgkar masih ada","negatif","negatif",""
"111","saya rasa karena jumlah pengguna internet di indonesia itu sangat besar sosialisasi lebih mudah sih dibanding dulu. tapi harus ada juga sosialisasi ke masyarakat pedalaman juga yang aga tertinggal biar komunikasi pesannya tersampaikan terutama untuk orang tua yang aga gaptek.","negatif","negatif",""
"112","kayaknya gue senang sama program ini, karena yang mencanangkan kan bi , kalau lihat karya bi yaitu qris, seharusnya project ini juga harus sesukses qris.","negatif","positif",""
"113","pertanyaanya adalah apa dolar mau mengikuti hal ini. jadi rp16 dari rp16.000.","netral","netral",""
"114","redenominasi = manipulasi inflasi","netral","negatif",""
"115","katanya usulan bi bukan purbaya","negatif","negatif",""
"116","sok toee","negatif","netral",""
"117","saya yakin kalo enggak ada centnya pasti akan terjadi invlasi bang pedagang akan menggenapkan harga barangnya semisal rp.10.500 tadi akan di genapkan jadi 11.000 karena tidak ada centnya","netral","netral",""
"118","enggak ada resiko kalo nilai nya enggak berubah.<br>pengetahuan masyarakat saat ini beda dengan masyarakat jaman dulu.","negatif","positif",""
"119","gue setuju untuk redonominasi bang","positif","positif",""
"120","belum ada berita dari bi , terimakasih info nya atas redenominasi .","netral","netral",""
"121","inflasi rendah tapi tiap tahun pasti naik<br><br>tidak diimbangi dengan kenaikan pendapatan <br><br>fix ini cuma sekedar penyederhanaan laporan keuangan aja...<br><br>sebenarnya program ini pernah di bilang oleh menkeu sebelumnya dan tujuannya dikatakan &quot;penyederhanaan laporan keuangan&quot;<br><br>udah kesitu arahnya","negatif","negatif",""
"122","siap siap phk massal akan terjadinya dan investasi investor pengusaha kabur ke negerinya stabil nilai keuangan nya","netral","negatif",""
"123","kalau di us kan masih pakai pecahan cent untuk mata uang recehan, kalau di indonesia nanti jadi apa ya.. penasaran menunggu","negatif","negatif",""
"124","dulu bukan redem... kocak","negatif","negatif",""
"125","artinya kita sudah mensosialisasikan sendiri dalam hal penyebutan nominal rupiah di lapangan atau dalam hal transaksi.","netral","netral",""
"126","pemikiran yang sama di tahun 1965 , kalo begini terus kapan mulainya","negatif","negatif",""
"127","yakin ?","positif","negatif",""
"128","zaman soekarno sudah dipraktekkan denominasi apa yang terjadi rakyat banyak yang jatuh miskin lu bwelisembako n air putih mesti mengantri bpulyuh tibu..malan ubi saja jadi bareng mewah zaman soekarno siostem denominasi ...tolak kebijakan purbaya memiskin indonesia dengan sistem denominasi memiskin rakyat membodi rakyat indonseis memanipulasi aset n kerja keras indonesia dengan nilai mun 2 milyar asetmu dihargai 2 juta merusak n memiskin n mnghancurkan ekoni n kesejahteraan rakyat indonesia","negatif","negatif",""
"129","menarik sih kalo memang mau benaran dijalanin, jangankan sebelum diterapin, pejabat yang menolak keras program ini juga sudah bisa dicurigai sebagai koruptor","negatif","negatif",""
"130","kalo rubah ntd ke rupiah jadi berapa ? yang sekarang 1000ntd = 500.000","negatif","negatif",""
"131","perampasan aset hilang kemana nih?","negatif","netral",""
"132","apapun kebijakannya jangan merugikan rakyat","negatif","negatif",""
"133","redenominasi harus disahkan 2027","netral","positif",""
"134","jadi keingatan uang 75000 sekarang kemana ya","negatif","netral",""
